Date,Trip_Count
2022-10-03,56185
2022-10-04,56444
2022-10-05,56213
2022-10-06,72889
2022-10-07,53967
2022-10-08,29118
2022-10-09,22793
2022-10-10,55995
2022-10-11,74833
2022-10-12,74729
2022-10-13,73010
2022-10-14,72217
2022-10-15,38928
2022-10-16,30401
2022-10-17,74841
2022-10-18,74738
2022-10-19,56290
2022-10-20,54553
2022-10-21,54325
2022-10-22,29024
2022-10-23,30399
2022-10-24,56467
2022-10-25,55984
2022-10-26,55899
2022-10-27,54670
2022-10-28,54079
2022-10-29,29193
2022-10-30,22923
2022-10-31,56086
2022-11-01,55990
2022-11-02,56037
2022-11-03,54677
2022-11-04,54132
2022-11-05,29189
2022-11-06,22804
2022-11-07,55885
2022-11-08,56333
2022-11-09,56164
2022-11-10,73065
2022-11-11,72282
2022-11-12,38806
2022-11-13,30341
2022-11-14,75458
2022-11-15,76225
2022-11-16,76281
2022-11-17,75104
2022-11-18,74821
2022-11-19,40161
2022-11-20,23661
2022-11-21,59095
2022-11-22,59672
2022-11-23,59879
2022-11-24,58984
2022-11-25,59251
2022-11-26,31805
2022-11-27,24908
2022-11-28,61842
2022-11-29,62463
2022-11-30,62979
2022-12-01,61118
2022-12-02,60964
2022-12-03,33104
2022-12-04,20536
2022-12-05,51321
2022-12-06,51867
2022-12-07,52296
2022-12-08,41643
2022-12-09,39323
2022-12-10,34085
2022-12-11,25313
2022-12-12,59751
2022-12-13,56897
2022-12-14,54271
2022-12-15,50379
2022-12-16,46945
2022-12-17,23921
2022-12-18,10527
2022-12-19,40466
2022-12-20,37580
2022-12-21,34966
2022-12-22,31578
2022-12-23,31212
2022-12-24,16684
2022-12-25,13026
2022-12-26,31828
2022-12-27,31957
2022-12-28,19120
2022-12-29,18578
2022-12-30,18056
2022-12-31,16118
2023-01-01,7598
2023-01-02,31065
2023-01-03,18946
2023-01-04,18514
2023-01-05,18320
2023-01-06,18055
2023-01-07,9586
2023-01-08,16481
2023-01-09,40531
2023-01-10,40859
2023-01-11,40152
2023-01-12,39362
2023-01-13,38731
2023-01-14,20648
2023-01-15,16395
2023-01-16,67343
2023-01-17,40157
2023-01-18,67316
2023-01-19,65597
2023-01-20,65067
2023-01-21,34990
2023-01-22,27378
2023-01-23,67190
2023-01-24,67321
2023-01-25,67395
2023-01-26,65646
2023-01-27,64926
2023-01-28,35011
2023-01-29,27420
2023-01-30,67225
2023-01-31,67447
2023-02-01,67328
2023-02-02,65769
2023-02-03,64756
2023-02-04,35031
2023-02-05,27418
2023-02-06,67469
2023-02-07,67383
2023-02-08,67183
2023-02-09,65657
2023-02-10,65009
2023-02-11,34881
2023-02-12,27243
2023-02-13,67264
2023-02-14,67459
2023-02-15,67366
2023-02-16,65796
2023-02-17,64996
2023-02-18,35024
2023-02-19,27389
2023-02-20,67447
2023-02-21,68152
2023-02-22,69203
2023-02-23,67360
2023-02-24,66795
2023-02-25,35901
2023-02-26,28316
2023-02-27,70002
2023-02-28,70129
2023-03-01,69950
2023-03-02,68305
2023-03-03,67423
2023-03-04,36748
2023-03-05,28621
2023-03-06,70609
2023-03-07,70528
2023-03-08,71215
2023-03-09,69164
2023-03-10,68440
2023-03-11,37067
2023-03-12,29076
2023-03-13,71525
2023-03-14,71452
2023-03-15,71884
2023-03-16,70177
2023-03-17,70206
2023-03-18,38023
2023-03-19,30034
2023-03-20,74600
2023-03-21,75781
2023-03-22,76416
2023-03-23,75308
2023-03-24,75099
2023-03-25,41309
2023-03-26,32456
2023-03-27,80720
2023-03-28,81417
2023-03-29,82234
2023-03-30,80739
2023-03-31,81532
2023-04-01,44254
2023-04-02,26217
2023-04-03,64844
2023-04-04,65621
2023-04-05,66466
2023-04-06,65572
2023-04-07,65114
2023-04-08,35237
2023-04-09,27700
2023-04-10,56105
2023-04-11,54456
2023-04-12,53407
2023-04-13,50692
2023-04-14,48302
2023-04-15,25239
2023-04-16,19063
2023-04-17,45532
2023-04-18,44025
2023-04-19,42641
2023-04-20,39911
2023-04-21,37954
2023-04-22,19703
2023-04-23,14896
2023-04-24,35055
2023-04-25,33438
2023-04-26,31931
2023-04-27,29571
2023-04-28,27545
2023-04-29,14200
2023-04-30,14009
2023-05-01,31646
2023-05-02,23673
2023-05-03,31650
2023-05-04,30821
2023-05-05,30536
2023-05-06,12395
2023-05-07,9682
2023-05-08,23595
2023-05-09,31627
2023-05-10,31661
2023-05-11,30847
2023-05-12,30466
2023-05-13,16389
2023-05-14,9758
2023-05-15,23743
2023-05-16,23809
2023-05-17,23658
2023-05-18,23041
2023-05-19,23047
2023-05-20,12298
2023-05-21,9643
2023-05-22,23785
2023-05-23,23924
2023-05-24,23685
2023-05-25,23222
2023-05-26,22889
2023-05-27,12417
2023-05-28,9704
2023-05-29,23962
2023-05-30,23757
2023-05-31,23818
2023-06-01,23227
2023-06-02,22818
2023-06-03,12228
2023-06-04,9550
2023-06-05,23659
2023-06-06,23955
2023-06-07,23571
2023-06-08,23349
2023-06-09,30542
2023-06-10,16522
2023-06-11,9771
2023-06-12,31656
2023-06-13,31658
2023-06-14,23764
2023-06-15,23072
2023-06-16,22937
2023-06-17,12250
2023-06-18,9483
2023-06-19,21870
2023-06-20,21985
2023-06-21,21840
2023-06-22,21557
2023-06-23,21111
2023-06-24,11314
2023-06-25,8633
2023-06-26,21325
2023-06-27,21398
2023-06-28,21214
2023-06-29,27459
2023-06-30,20542
2023-07-01,10972
2023-07-02,8690
2023-07-03,28232
2023-07-04,28179
2023-07-05,28375
2023-07-06,27495
2023-07-07,27252
2023-07-08,14626
2023-07-09,11529
2023-07-10,27462
2023-07-11,27571
2023-07-12,27587
2023-07-13,20024
2023-07-14,19930
2023-07-15,14307
2023-07-16,11308
2023-07-17,27581
2023-07-18,27563
2023-07-19,27472
2023-07-20,26658
2023-07-21,26429
2023-07-22,14339
2023-07-23,11195
2023-07-24,27296
2023-07-25,20723
2023-07-26,20455
2023-07-27,20027
2023-07-28,19920
2023-07-29,14718
2023-07-30,11458
2023-07-31,28178
2023-08-01,28109
2023-08-02,21063
2023-08-03,20517
2023-08-04,20319
2023-08-05,11043
2023-08-06,8609
2023-08-07,21324
2023-08-08,21192
2023-08-09,21154
2023-08-10,27498
2023-08-11,27186
2023-08-12,14604
2023-08-13,11448
2023-08-14,28234
2023-08-15,29256
2023-08-16,29460
2023-08-17,28587
2023-08-18,28379
2023-08-19,15290
2023-08-20,11943
2023-08-21,29455
2023-08-22,29491
2023-08-23,29403
2023-08-24,28517
2023-08-25,28168
2023-08-26,15206
2023-08-27,11794
2023-08-28,30778
2023-08-29,30770
2023-08-30,30752
2023-08-31,29881
2023-09-01,76246
2023-09-02,41121
2023-09-03,32075
2023-09-04,78867
2023-09-05,78989
2023-09-06,59143
2023-09-07,57885
2023-09-08,57144
2023-09-09,30529
2023-09-10,24166
2023-09-11,59380
2023-09-12,59315
2023-09-13,59454
2023-09-14,57636
2023-09-15,57338
2023-09-16,30887
2023-09-17,24174
2023-09-18,59015
2023-09-19,59493
2023-09-20,59142
2023-09-21,57660
2023-09-22,57257
2023-09-23,30696
2023-09-24,23946
2023-09-25,59404
2023-09-26,59163
2023-09-27,59101
2023-09-28,57854
2023-09-29,57142
2023-09-30,30929
2023-10-01,24288
2023-10-02,59399
2023-10-03,58900
2023-10-04,59409
2023-10-05,57682
2023-10-06,76136
2023-10-07,30965
2023-10-08,23937
2023-10-09,59194
2023-10-10,59273
2023-10-11,79037
2023-10-12,77000
2023-10-13,76205
2023-10-14,41070
2023-10-15,32042
2023-10-16,79015
2023-10-17,78933
2023-10-18,78897
2023-10-19,77012
2023-10-20,57071
2023-10-21,30760
